# Generated 2020-10-01 by Glenn Larsson (@pro_integritate). Creative Commons Attribution 
2020-09-30, "_629634.p1.1.exe.bin", -, da5633a2ba0a3891a3d95513ccc8e6ed, 6d978d16f35c60bcdbe54405b608aec51a24bd3c, cfc7b6a8ad0959f4ea3f6b6f09492ea93961938008b61279567f1bddf1a7bc06, 3072:Br+U7LVLn1BFdjGQX8dbDCRUCnhqxmTy1WOeJfUuIRrT10ZFPjEzcuT5rxAgYJu3:Br+USu+WOeOTCjLEIuTAg7+2,"_629634.p1.1.exe.bin", Windows executable (MZ), 261000 bytes, rh:cc0b47cf91fca32a35b9f343a2dcafb5, -
2020-09-30, "_629634.p1.doc.bin", -, 2ad8bdbaac5069920f252a4a3a5d1fe3, a9ee2844ee3d0fc4eb83f574d29d8624b26c5006, e318641c1c0ffc7744de277bb2c97c22d2f51f805417a18097985be7f957c8a9, 12288:nFvF8iNjfa1PyRjxH4SbuTntphZ4us6O61WF:FSic1oNbSz1j,"_629634.p1.doc.bin", MSI or Microsoft Office Legacy (DOC PPT XLS), 701952 bytes, -, -
2020-09-30, "_629893.exe.bin", -, cbffd58c04c47d1ed13417c2ded51e88, 0e50935653a0605c2d8fa1149500ccdbe29f812c, 11ebf3d35d1c3fc5414249d8ecdf72443580260c42d2d452a49af01b0432bdd5, 384:UsqCm6yocx/Yp7jemiO0nd08/VQ6bgNQC5h7tmRvR6JZlbw8hqIusZzZawk:7SoQA6mlcrRpcnu1,"_629893.exe.bin", Windows executable (MZ), 24064 bytes, nh:8d43d8054c8cc48d8f636707fc6057b9, -
2020-09-30, "emotet epoch2 exe heodo", "https://devanyastore.com/wp-content/9J56juA/", b0a60bd26ba405d848bc5be7e433ade2, 26a30115bf583c651741fb9668af769ceb89ba2a, 017c1bc16c2607e0c7debf9ec17b01977f2e673da62679c6f73792e455b2208c, 6144:pZVatxXzZ9nHZHKqgTOFEVf3b8v8Y8p7k:0txXznVKsEVf40Pk,"631275.bin.TMP", Windows executable (MZ), 286720 bytes, rh:11bc983c4cee6766b1af15e28ea50554, mh:27f6015069c2117148307424238b5b3c
2020-09-30, "exe Troldesh", "https://turntribe.com/wp-content/themes/minimal-portfolio/demo/sserv.jpg", e1d7946e0431423da26d27e7fae00edf, f44ef7a71a8503d169e34fa9f80230b0f6cb36e2, d832010182a986629db10bf429f85fe659265360964bee1cbec2947cfc597b00, 24576:XVoY+BrSL32adYkcsbvaNGyA5sGsX2ooKKaJ:XVorrazqqTaNvLNJ,"631510.bin.TMP", Windows executable (MZ), 1073928 bytes, rh:789008d8d2652d0bd48a02077fa60188, -
2020-09-30, "exe Troldesh", "https://turntribe.com/wp-content/themes/minimal-portfolio/demo/ssj.jpg", eee6b8fff025cafad98579657b7bccd0, 78d645bf376a58edc0918ad969787e65a1781e71, 14e44c02a55de7ba6bce25648ae343104f90213f2f2d2c382e9c738de151cd50, 24576:yJSlxEJLbyy1BEEmuOdScyLmYBSnMVJKg3WtDI7DG:yJSlR8OdSPL4n6Isq07i,"631509.bin.TMP", Windows executable (MZ), 1475784 bytes, nh:434f8357fa215ab46ffbd539cd9b9eca, -
2020-10-01, "AgentTesla exe", "http://198.12.66.102/vsl.exe", f37cb24f77d71e5bae6018615ae6f789, 6e57ea1e47ffa5c0d51455be771602e35479f5d5, 58e919965df896c5650448556e2a6d96ecc92a8f2af4dbdf81f4a86c2df5a091, 768:PobdgTVTlBCdSHP+r1DPyvLgKAQIIIIHRFFgF5F8Uf2hQ:QxgJTlfE1DPyjg8FFgF5F8Ufl,"636154.bin.TMP", Windows executable (MZ), 56688 bytes, nh:034ae72eaae1b3fce1fe838e9f66f3f3, mh:0d85b6010855deb37811ee2ed33918e5
2020-10-01, "AZORult exe", "http://gooddns.ir/angelx/angelx.exe", ec979706809d317ea490b0abc9409a20, 06cf2ee722da1726b799da60efcc99c54f6c549a, 8134e9aaeee2160899ff6995b0d97a1742eda48124ff8cebaa4b2f65b2e8b153, 12288:XcFUncJ54irus265GoqlDX1YH0COI+w7Ror6PpGg+l2K3RYUOcCtlMBcK0IF9Px:dnYnuRcBIoGblBh3yRKrF9p,"634651.bin.TMP", Windows executable (MZ), 730624 bytes, nh:e457fbae1dd166a0c89d244ac03f4e93, -
2020-10-01, "bashlite elf gafgyt", "http://172.245.7.178/armv5l", da83f8ad59cf160bae845926a712b5e3, fc1ea8f0f350d32213b58add4572603928abbd61, 3e9a7cdbbb58077706ca359c2f7d86d8990bb8f894f672dd9a0304cc0c80f3c0, 3072:4jDy/+mh1vtbPIKaIbEcUPium7/L7QsvmGugiNb:mOJ1vxfaIblYm7/L7QsvmGugiNb,"636305.bin.TMP", Linux executable (ELF), 125009 bytes, -, -
2020-10-01, "bashlite elf gafgyt", "http://172.245.7.178/armv6l", ed7649397de002f62353d38ccb3cd6fb, 73e1b88acb1afb92dee7f898a896a5e82d093d67, 3b9f2757f6dcd02e53091c6d1df6757632142d8a5f19d4e842abb78a0d5fd3ca, 3072:Cv/WwsLgaq353qHiCOvhOpKqbDQHbe1UkmhxQwoVZUNu:KPLaq351hOpKqbL1UkmhxQwoVZUNu,"636311.bin.TMP", Linux executable (ELF), 143020 bytes, -, -
2020-10-01, "bashlite elf gafgyt", "http://172.245.7.178/i586", 4f3cab21456230aaf88b0559e03d081a, 6fa0d928e04061cf34bec3a4d2b7f001873ff405, 16afc6cdfb8279a92b7fa3dda18348bdb197ebdf8c07055383d8a0478f8f9dce, 3072:VK1z13U6HzHoXRtmTUhQogbqmmFVcqq0G27ZT:VK7DDeKlogbqmmFVcqq0G27ZT,"636309.bin.TMP", Linux executable (ELF), 100043 bytes, -, -
